archivo,dept,mun,zona,stand,mesa,texto_p1,ocr_ok,numeros_detectados,potencial_mesa,total_sufragantes,votos_cepeda,votos_claudia,votos_botero,votos_espriella,votos_lizcano,votos_uribe_l,votos_sondra,votos_barreras,votos_caicedo,votos_matamoros,votos_paloma,votos_fajardo,votos_murillo,suma_candidatos_detectados,candidatos_detectados,hubo_recuento
023.pdf,60,001,01,01,023,"- TAO DNE AN - | 710093522010103 Ver: 01 Pag: 1 de 3 E| c E ACTA DE ESCRUTINIO DE LOS m _¡L e - JURADOSDEVOTACIÓN AA - DELEGADOS n d E ELECCIÓN PRESIDENCIA Y ""'EF E El E VICEPRESIDENCIA DE LA REPUBLICA — E * ra E MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 023 LUGAR: IE INEM JOSE EUSTACIO RIVERA X 8-09-75-10 X NIVELACIÓN DE LA MESA 2",True,72,,9352,2,,,5,5,,,,0,,12,13,,37,6,S
024.pdf,60,001,01,01,024,"- AEAOOO TNEO ""— 710093532010103 Ver: 01 Pag: 1 de 3 E' - E ACTA DE ESCRUTINIO DE LOS m e - JURADOS DE VOTACIÓN . = i = El -_r-_||._'ll. ELECCIÓN PRESIDENCIA Y l Cl h VICEPRESIDENCIA DE LA REPUBLICA D E o E MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA | ZONA: 01 PUESTO: 01 MESA: 024 | LUGAR: IE INEM JOSE EUSTACIO RIVERA | X 3-60-77-19 X NIVELACIÓN DE LA MESA 1",True,71,131,5,2,3,,,,,,,10,,12,,7,34,5,S
025.pdf,60,001,01,01,025,"N TUO IOOOO _ 710093542010103 Ver: 01 Pag: 1 de 3 | E í I"""""" E| ACTA DE ESCRUTINIO DE LOS m | Ta % s JURADOS DE VOTACIÓON _ Ea E DELEGADOS E r'.'11:l!in ELECCIÓN PRESIDENCIA Y .i'p U VICEPRESIDENCIA DE LA REPUBLICA L. , E__ d T > aa « MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 025 LUGAR: IE INEM JOSE EUSTACIO RIVERA X 3-84-360-11 X ",True,96,122,1,2,5,5,,5,,5,9,9,,12,13,,65,9,S
026.pdf,60,001,01,01,026,"- E ELOO NE ON - 710093552010103 Ver: 01 Pag: 1 de 3 E. : HT E ACTA DE ESCRUTINIO DE LOS m E - ¿:I;_¿_,¡-.'- »1 — JURADOSDEVOTACIÓN A M ELECCIÓN PRESIDENCIA Y ' e-LA D, VICEPRESIDENCIA DE LA REPÚBLICA T E -l MAYO 31 DE 2026 REGISTRADURÍA . DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 026 LUGAR: IE INEM JOSE EUSTACIO RIVERA | X A4-64-19-15 X NIVELACIÓN DE LA MESA",True,83,12,2,2,3,1,,,,,9,10,,12,13,2,52,8,S
027.pdf,60,001,01,01,027,"m ||||7 71111 7 710093562010103 Ver: 01 Pag: 1 de 3 E n E ACTA DE ESCRUTINIO DE LOS m f T JURADOS DE VOTACIÓN | r d ""c |l'¡ - ELECCIÓN PRESIDENCIA Y | -""-&|'.I =$ VICEPRESIDENCIA DE LA REPÚBLICA _ l E r E MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 027 | LUGAR: iE INEM JOSE EUSTACIO RIVERA K 7-57-12-11 X NIVELACIÓN DE LA MESA | £Li3a",True,84,,356,2,3,28,,,,,27,10,,12,13,5,100,8,S
028.pdf,60,001,01,01,028,"- AEEOOO - 710093572010103 Ver: 01 Pag: 1 de 3 E - *.E ACTA DE ESCRUTINIO DE LOS m E- .: JURADOS DE VOTACIÓN .gi.'_.:u_r.gi- E — DELEGADOS -1:£;|. ; ELECCIÓA PRESIDENCIA Y al J E- VICEPRESIDENCIA DE LA REPUBLICA , i E, ""FR MAYO 31 DE 2026 REGISTRADURÍA ' DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA | ZONA: 01 PUESTO: 01 MESA: 028 LUGAR: IE INEM JOSE EUSTACIO RIVERA - X 2-41-45-18 X NIVELAC",True,90,55,5,1,3,,4,,,,,10,,,,0,18,5,S
001.pdf,60,001,01,02,001,"- INNATTADTANTAD — 710093582010103 Ver: 01 Pag: 1 de 3 E ! E ACTA DE ESCRUTINIO DE LOS m Ir=ti, An - JURADOSDEVOTACIÓN . E Ce _ DELEGADOS = 'Hl ñ ELECCIÓN PRESIDENCIA Y s ' VICEPRESIDENCIA DE LA REPÚBLICA . E . _r MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 02 MESA: 001 LUGAR: JORGE ELIECER GAITAN X 3-76-60-17 X NIVELACIÓN DE LA MESA 166 N66 ",True,84,166,9358,0,3,3,5,5,,,,,,,13,7,36,7,S
002.pdf,60,001,01,02,002,"- AEEO D ENE n 710093592010103 Ver: 01 Pag: 1 de 3 E "" 'I7 l E ACTA DE ESCRUTINIO DE LOS m | N I,¡ l , JURADOS DE YOTACIÓN * T M| DELEGADOS _ . '!E'£¡.:¡LL ELECCIÓN PRESIDENCIA Y as s Ey VICEPRESIDENCIA DE LA REPÚBLICA E_ TN MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 02 MESA: 002 LUGAR: JORGE ELIECER GAITAN KX 8-31-14-17 X NIVELACIÓN DE LA M",True,76,104,4,2,3,,4,,,,,6,,3,13,4,35,7,S
003.pdf,60,001,01,02,003,— ONORONIMNENNTNMRNDTA — 710093602010103 Ver: 01 Pag: 1 de 3 E_ _ E ACTA DE ESCRUTINIO DE LOS m en aa — JURADOSDEVOTACIÓN — + ELECCIÓN PRESIDENCIA Y i = VICEPRESIDENCIA DE LA REPÚBLICA E [EI o MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 02 MESA: 003 LUGAR: JORGE ELIECER GAITAN X 5-68-19-17 X NIVELACIÓN DE LA MESA | 143l EA CANDIDATO AGRUPAC,True,82,143,3,7,,,,6,,,,,,12,13,,38,4,S
004.pdf,60,001,01,02,004,""" OMENINDNOONEMBNTO — 710093612010103 Ver: 01 Pag: 1 de 3 | E *P E ACTA DE ESCRUTINIO DE LOS m S. -€' a — JURADOS DEVOTACIÓN - — ; Y M ""|'='|:H'"":u? ELECCIÚ?PRESIDENCIA_Y ' .El VICEPRESIDENCIA DE LA REPUBLICA — E eJ MAYO 31 DE 2026 REGISTRADURIA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 02 MESA: 004 LUGAR: JORGE ELIECER GAITAN X 2-54-14-16 X NIVELACIÓN DE LA MESA 17% 17",True,81,17,4,2,2,,,,,,,9,,,,1,14,4,S
